longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.1474,28.9027,802.33,140.4,1.54,0.38,160,Semi,0.33,False,-116.0,7.25,-44.08
-79.0388,28.8855,806.46,145.72,1.54,0.38,161,Semi,0.33,False,-117.0,7.25,-44.46
-78.9302,28.8681,822.48,149.8,1.54,0.38,162,Semi,0.33,False,-117.0,7.25,-44.46
-78.8217,28.8507,844.09,153.96,1.54,0.38,163,Semi,0.33,False,-118.0,7.25,-44.84
-78.7132,28.8331,865.09,158.79,1.57,0.37,164,Semi,0.33,False,-120.0,7.25,-44.4
-78.6047,28.8154,885.64,163.76,1.58,0.37,165,Semi,0.33,False,-121.0,7.25,-44.769999999999996
-78.4963,28.7977,905.81,169.05,1.58,0.37,166,Semi,0.33,False,-122.0,7.25,-45.14
-78.388,28.7798,926.57,175.32,1.58,0.37,167,Semi,0.33,False,-123.0,7.25,-45.51
-78.2797,28.7618,946.50,181.66,1.58,0.37,169,Semi,0.33,False,-124.0,7.25,-45.88
-78.1714,28.7436,967.21,188.45,1.61,0.37,170,Semi,0.33,False,-126.0,7.25,-46.62
-78.0632,28.7254,989.14,195.8,1.61,0.37,171,Semi,0.33,False,-127.0,7.25,-46.99
-80.65,29.2289,25.54,26.27,1.02,0.36,131,Jacket,0.28,True,-86.0,6.75,-30.959999999999997
-80.5456,29.2128,27.07,35.73,0.97,0.37,131,Jacket,0.28,True,-87.0,7.25,-32.19
-80.4363,29.197,30.32,46.16,0.94,0.37,132,Jacket,0.28,True,-87.0,7.25,-32.19
-80.327,29.1811,38.02,56.58,0.94,0.38,133,Jacket,0.28,True,-89.0,7.25,-33.82
-80.2178,29.165,61.88,66.19,1.32,0.38,134,Semi,0.28,False,-90.0,7.25,-34.2
-80.1086,29.1489,141.80,75.31,1.41,0.38,136,Semi,0.28,False,-92.0,7.25,-34.96
-79.9995,29.1326,382.85,84.4,1.41,0.38,141,Semi,0.28,False,-97.0,7.25,-36.86
-79.8904,29.1162,571.87,93.2,1.41,0.38,147,Semi,0.33,False,-103.0,7.25,-39.14
-79.7813,29.0998,703.81,101.93,1.43,0.38,150,Semi,0.33,False,-106.0,7.25,-40.28
-79.6723,29.0832,745.21,110.37,1.49,0.38,152,Semi,0.33,False,-108.0,7.25,-41.04
-79.5634,29.0665,772.59,117.78,1.49,0.38,154,Semi,0.33,False,-110.0,7.25,-41.8
-79.4544,29.0497,794.82,125.11,1.49,0.38,155,Semi,0.33,False,-110.0,7.25,-41.8
-79.3456,29.0328,799.60,132.71,1.49,0.39,155,Semi,0.33,False,-111.0,7.25,-43.29
